NUMBER,ANAL,SAMPLET,SAMPLED,DESCRIP,TYPE,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF-CHL,HPLC-CHLA,COND,PH,Comments for DOC
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,
4460.0,M,,7/27/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,21,,,,,,110,,,,,
4461.0,M,,7/27/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,-1,,,,,,220,,,,,
4462.0,M,,7/27/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,
4529.0,M,22:11,8/4/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,
4530.0,M,22:12,8/4/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,8,,,,,,140,,,,,
4531.0,M,22:17,8/4/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,
4532.0,M,14:25,8/4/2017,MANITOBA,LA,HERBERT,FFR,,GL FR1,0,,,,240,654,33,18,40,2379,2750,6.46,5.55,940,8.65,Sample had a small brown hairy tumbleweed floating around
4533.0,M,18:42,8/4/2017,MANITOBA,LA,HERBERT,LWH,,LWH_M,0,,,,142,655,93,15,102,953,1430,3.05,2.20,924,8.58,
4534.0,M,18:49,8/4/2017,MANITOBA,LA,HERBERT,LWH,,LWH_M,3.5,,,,175,638,62,14,76,1007,1520,2.94,2.26,939,8.61,
4535.0,M,20:51,8/4/2017,MANITOBA,LA,HERBERT,WHR,,WHR1,0,,,,129,743,78,14,89,1036,1330,3.52,2.61,959,8.59,Sample had a bigger [than M4532] brown hairy tumbleweed floating around
4536.0,M,15:48,8/5/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,2,,,,,,10,,,,,
4537.0,M,15:48,8/5/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,-1,,,,,,130,,,,,
4538.0,M,15:50,8/5/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,
4539.0,M,08:47,8/5/2017,MANITOBA,LA,HERBERT,LMB,,LMB_M2,0,,,,155,636,59,10,67,1073,1280,2.71,2.07,948,8.60,
4540.0,M,09:48,8/5/2017,MANITOBA,LA,HERBERT,LMB,,168935,0,,,,164,636,61,13,72,1042,1760,3.89,3.02,913,8.62,
4541.0,M,10:37,8/5/2017,MANITOBA,LA,HERBERT,LMB,,165947,0,,,,172,705,138,14,150,1011,1620,3.69,2.82,930,8.60,
4542.0,M,17:00,8/5/2017,MANITOBA,LA,HERBERT,LWH,DIT,DBW3,0,,,,45,1134,3,6,8,2939,460,0.91,0.58,1167,8.73,
4543.0,M,17:30,8/5/2017,MANITOBA,LA,HERBERT,LWH,DIT,DBW5,0,,,,59,1190,28,9,32,2266,730,1.12,0.58,528,8.71,
4544.0,M,16:30,8/7/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,1,,,,,,10,,,,,
4545.0,M,16:32,8/7/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,1,,,,,,190,,,,,
4546.0,M,16:31,8/7/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,
4547.0,M,13:57,8/6/2017,MANITOBA,LA,HERBERT,LWPO,,284986,0,,,,119,477,107,11,113,991,1160,3.36,2.27,907,8.62,
4548.0,M,17:02,8/6/2017,MANITOBA,LA,HERBERT,LWPO,,308102,0,,,,211,546,84,23,91,2413,1410,7.46,2.13,559,8.58,
4549.0,M,07:18,8/7/2017,MANITOBA,LA,HERBERT,FFR,,FR1,0,,,,87,755,37,13,47,1807,710,4.51,2.32,255,8.50,
4550.0,M,08:37,8/7/2017,MANITOBA,LA,HERBERT,LWPO,,291091,0,,,,199,576,85,26,97,1172,1420,8.93,5.85,664,8.63,
4551.0,M,10:23,8/7/2017,MANITOBA,LA,HERBERT,REDR,,RDR1,0,,,,396,764,25,52,39,1329,3440,12.01,7.97,484,8.69,
4552.0,M,07:18,8/7/2017,MANITOBA,LA,HERBERT,FFR,,FR1,0,,,,85,,,17,,,680,4.67,3.42,,,
4553.0,M,13:32,8/9/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,1,,,,,,10,,,,,
4554.0,M,13:34,8/9/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,12,,,,,,140,,,,,
4555.0,M,13:30,8/9/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,
4556.0,M,08:16,8/8/2017,MANITOBA,LA,HERBERT,LWPO,,171986,0,,,,234,550,62,17,68,,2410,6.39,4.50,970,8.64,
4557.0,M,08:18,8/8/2017,MANITOBA,LA,HERBERT,LWPO,,171986,6,,,,243,529,98,20,102,,2480,6.10,4.53,970,8.63,
4558.0,M,09:05,8/8/2017,MANITOBA,LA,HERBERT,LWPO,,LWPO_M,0,,,,212,520,173,22,175,,2260,5.96,4.66,957,8.63,
