SAMPLE_NO,STATION_NO,STATION_NAME,STATION_DESCRIPTION,Dec Lat,Dec Long,STATION_TYPE_CODE,SAMPLE_MATRIX_CODE,SAMPLE_DATETIME,TIME_USABLE_FLAG,SAMPLE_CLASS_INDICATOR,AGENCY_CODE,CARBON TOTAL ORGANIC _TOC,CARBON TOTAL,COLOUR TRUE,NITROGEN TOTAL KJELDAHL _TKN,PHOSPHORUS TOTAL _P,CARBON TOTAL ORGANIC _TOC_1,CARBON DISSOLVED INORGANIC _DIC,NITROGEN TOTAL KJELDAHL _TKN_1,NITROGEN DISSOLVED NO3 _ NO2,NITROGEN TOTAL _CALCD,OXYGEN DISSOLVED,OXYGEN BIOCHEMICAL DEMAND,ALKALINITY TOTAL CACO3,TEMPERATURE WATER _FIELD,AMMONIA DISSOLVED,PHOSPHORUS TOTAL DISSOLVED,ICE THICKNESS,CHLOROPHYLL A,PHEOPHYTIN A,CHLOROPHYLL A_1,HARDNESS TOTAL _CALCD_ CACO3,HARDNESS TOTAL _CALCD_ CACO3_1,TURBIDITY,AMMONIA DISSOLVED_1,TOTAL SUSPENDED SOLIDS,COLOUR TRUE_1,OXYGEN DISSOLVED_1,NITROGEN DISSOLVED NO3 _ NO2_1,SULPHATE DISSOLVED,NITROGEN TOTAL KJELDAHL _TKN_2,NITROGEN DISSOLVED KJELDAHL,PHOSPHORUS TOTAL _P_1,PHOSPHORUS TOTAL DISSOLVED_1,PHOSPHOROUS_TOTAL_ORTHO,PHOSPHORUS PARTICULATE _CALCD,PHOSPHOROUS_ACID HYDROLYZABLE,TOTAL DISSOLVED SOLIDS,CARBON TOTAL_1,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC _TOC_2,CARBON DISSOLVED TOTAL,OXYGEN BIOCHEMICAL DEMAND_1,ALKALINITY TOTAL CACO3_1,ALKALINITY CO3_CALCD,ALKALINITY OH_CALCD,ALKALINITY TOTAL HCO3_CALCD,CONDUCTIVITY _AT 25C,PH,PH_1,CONDUCTIVITY _AT 25C_1,ALKALINITY TOTAL CACO3_2,ALKALINITY CO3_CALCD_1,ALKALINITY OH_CALCD_1,ALKALINITY TOTAL HCO3_CALCD_1,TURBIDITY_1,AMMONIA _NH3,NITRATE_  NITRITE,TOTAL DISSOLVED SOLIDS_1,TOTAL DISSOLVED SOLIDS_2,TOTAL SUSPENDED SOLIDS_1,SOLIDS TOTAL,ALKALINITY TOTAL CACO3_3,ALKALINITY TOTAL CACO3_4,ALKALINITY CO3_CALCD_2,PH_2,CONDUCTIVITY _AT 25C_2,ALKALINITY TOTAL HCO3_CALCD_2,ALKALINITY CO3_CALCD_3,ALKALINITY OH_CALCD_2,ALKALINITY TOTAL HCO3_CALCD_3,ALKALINITY OH_CALCD_3,CONDUCTIVITY _AT 25C_3,PHOSPHORUS TOTAL DISSOLVED_2,PHOSPHORUS PARTICULATE _CALCD_1,PHOSPHORUS DISSOLVED ORTHO,PHOSPHORUS TOTAL _P_2,PHOSPHORUS DISSOLVED ORTHO_1,PHOSPHATE SOLUBLE ORTHO,PHOSPHORUS TOTAL _P_3,PHOSPHORUS PARTICULATE _CALCD_2,PHOSPHORUS TOTAL DISSOLVED_3,SILICA _ DISSOLVED REACTIVE,NITROGEN TOTAL KJELDAHL _TKN_3,CHLOROPHYLL A PHYTOPLANKTON,AMMONIA DISSOLVED_2,AMMONIA DISSOLVED_3,NITROGEN DISSOLVED NO3 _ NO2_2,SULPHATE DISSOLVED_1,SULPHATE DISSOLVED_2,AMMONIA DISSOLVED_4,CARBON DISSOLVED TOTAL_1,CARBON DISSOLVED INORGANIC _DIC_1,CARBON TOTAL_2,CARBON TOTAL INORGANIC_1,CARBON TOTAL ORGANIC _CALCD,CARBON DISSOLVED ORGANIC _CALCD,HARDNESS TOTAL _CALCD_ CACO3_2,NITROGEN DISSOLVED NO3 _ NO2_3,PHOSPHORUS DISSOLVED ORTHO_2,TURBIDITY _FIELD,CONDUCTIVITY _FIELD,TEMPERATURE WATER,PHOSPHOROUS_ ACID HYDROLYZABLE _ ORTHOPHOSPHATE,PHOSPHORUS TOTAL ORGANIC,PHOSPHOROUS_ACID HYDROLYZABLE_1,CHLOROPHYLL A_2,PHEOPHYTIN A_1,HARDNESS TOTAL _CALCD_ CACO3_3,SULPHATE DISSOLVED_3,TOTAL SUSPENDED SOLIDS_2,ODB_ODA _CHLOROPHYLL_A _ PHEOPHYTIN_A RATIO,AMMONIA _NH3_1,PHOSPHORUS TOTAL INORGANIC,NITRATE _NO3_N,NITRITE _NO2_N,SULPHATE _S04,CHLOROPHYLL A_3,PHEOPHYTIN A_2,COLOUR TRUE_2,PHOSPHORUS TOTAL INORGANIC_1,PHOSPHOROUS_TOTAL_ACID REACTIVE,PHOSPHOROUS ACID HYDROLYSES,DEPTH OF WATER
0404CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/20/2004 9:50:00 AM,Y,A,381,,,,,,,,,,,,,,5,,,,,,,,221,34.6,0.17,32,55,11,0.38,60.6,1.7,,0.241,0.063,,0.178,,252,55,37,18,,2,,,,,,,7.49,461,164,L0.5,L0.5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0407CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/15/2004 9:55:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,262,53.8,0.05,128,65,8.8,0.06,68.7,1.1,,0.25,0.023,,0.227,,340,62,42,20,,3,,,,,,,8.25,480,188,L0.5,L0.5,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0409CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/28/2004 9:40:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,,,233,6.8,L0.01,10,45,8.8,0.02,39.5,0.7,,0.045,0.015,,0.03,,346,68,48,20,,L1,,,,,,,8.27,523,218,L0.5,L0.5,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0504CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/26/2005 9:35:00 AM,Y,A,381,,,,,,,,,,,,,,8,,,,,,,,201,38.4,0.06,82,35,9.1,0.12,53.7,1,,0.219,0.013,,0.206,,287,51,39,13,,4,,,,,,,8,460,164,L0.5,L0.5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0507CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/28/2005 9:30:00 AM,Y,A,381,,,,,,,,,,,,,,19,,,,,,,,248,43,0.05,96,52,7.6,0.09,60.3,0.5,,0.203,0.034,,0.169,,348,63,49,14,,L1,213,5.3,L0.5,250,,,8.27,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0509CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/27/2005 9:35:00 AM,Y,A,381,,,,,,,,,,,,,,11,,,,,,,,194,34.3,0.05,62,48,8.9,0.04,28.2,0.8,,0.149,0.025,,0.124,,289,68,42,26,,L1,,,,,,,8.06,407,188,L0.5,L0.5,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0604CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/11/2006 9:20:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,,,,,297,175,0.59,393,76,10.6,1.82,43.7,3.8,,1.11,0.116,,0.994,,230,46,31,16,,6,,,,,,,7.58,351,140,L0.5,L0.5,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0607CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/27/2006 10:10:00 AM,Y,A,381,,,,,,,,,,,,,,20,,,,,,,,231,20.8,0.02,36,57,7.3,L0.01,60.7,1,,0.093,0.027,,0.066,,415,77,51,26,,1,,,,,,,8.29,532,232,L0.5,L0.5,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0609CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/26/2006 9:55:00 AM,Y,A,381,,,,,,,,,,,,,,10,,,,,,,,286,19.2,0.05,41,17,9.3,L0.01,63.6,0.7,,0.088,0.012,,0.076,,418,78,68,9.9,,L1,,,,,,,8.17,628,272,L0.5,L0.5,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,11/27/2006 2:45:00 PM,Y,A,381,,,,,,,,,,,,,,0,,,,,,,,318,6.7,0.01,9,18,10.2,0.05,90.4,0.9,,0.061,0.01,,0.051,,487,82,70,12,,2,,,,,,,7.85,741,292,L0.5,L0.5,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0704CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/16/2007 4:30:00 PM,Y,A,381,,,,,,,,,,,,,,4.5,,,,23.9,L0.5,,,313,218,0.3,843,64,9.7,0.83,43.5,3.8,,1.1,0.15,0.472,0.95,0.57,223,38,28,9.9,,10,,,,,,,7.73,339,138,L0.5,L0.5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0707CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/10/2007 3:30:00 PM,Y,A,381,,,,,,,,,,,,,,20,,,,5.7,4.3,,,228,35.1,0.04,70,57,8,0.07,40.1,1,,0.059,0.021,0.049,0.038,0.003,276,55,39,16,,1,,,,,,,8.08,438,192,L0.5,L0.5,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0709CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/26/2007 4:15:00 PM,Y,A,381,,,,,,,,,,,,,,13,,,,3,L0.5,,,286,10.9,0.01,11,14,10.2,L0.01,79.4,0.5,,0.035,0.018,L0.001,0.017,0.027,401,63,58,5.1,,L1,,,,,,,8.31,678,251,L0.5,L0.5,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0712CH0018,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,12/11/2007 11:00:00 AM,Y,A,381,,,,,,,,,,,,,,0,,,,L0.5,L0.5,,,405,5,0.14,6,10,6,0.13,110,0.7,,0.017,0.008,L0.001,0.009,0.014,588,93,86,6.9,,1,,,,,,,7.68,929,358,L0.5,L0.5,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0804CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/22/2008 10:45:00 AM,Y,A,381,,,,,,,,,,,,,,3.5,,,,12,L0.5,,,300,133,0.33,340,59,11.2,0.95,60.4,3.3,,0.656,0.055,0.228,0.601,0.317,308,46,33,13,,2,,,,,,,7.95,420,144,L0.5,L0.5,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0807CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/8/2008 1:40:00 PM,Y,A,381,,,,,,,,,,,,,,18,,,,8.98,L0.5,,,247,16.5,0.11,24,33,8.3,0.02,60.7,1.2,,0.071,0.017,0.007,0.054,0.054,354,62,47,15,,1,,,,,,,8.44,547,208,L0.5,L0.5,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0809CH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/23/2008 2:20:00 PM,Y,A,381,,,,,,,,,,,,,,14,,,,L0.5,L0.5,,,302,3.9,0.03,3,18,9.7,L0.01,101,0.7,,0.019,0.007,0.002,0.012,0.013,562,76,62,14,,L1,,,,,,,8.44,976,246,L0.5,L0.5,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0812JH0035,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,12/8/2008 2:15:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,2.99,L0.5,,,428,6.6,0.1,8,19,7.9,0.07,123,0.7,,0.025,0.007,0.002,0.018,0.016,629,102,87,15,,1,,,,,,,7.95,1040,376,L0.5,L0.5,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0904JH0567,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/15/2009 11:00:00 AM,Y,A,381,,,150,,,,,,,,12.6,6.8,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,248,,1180,,,106,0.98,8.3,301,,,,128,L0.4,,,,0.139,,,,0.323,0.214,0.109,,3.35,,0.285,,1.7,,,,,,43.8,24.9,19,,,,,,,,,,0.365,0.89,2.23,286,37.5,,1.2,,0.504,,,,,,,,,,
0907JH1265,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/7/2009 10:50:00 AM,Y,A,381,,,50,,,,,,,,7.1,L1,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,388,,16,,,222,5.95,8.5,575,,,,259,L0.4,,,,0.0176,,,,0.0416,0.0238,0.0178,,0.65,,0.012,,0.01,,,,,,66,52.4,13.6,,,,,,,,,,0.024,2.67,3.47,275,64.4,,1.3,,0.0416,,,,,,,,,,
0909JH1740,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,10/14/2009 9:25:00 AM,Y,A,381,,,15,,,,,,,,10.3,L1,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,406,,L5,,,265,12.2,8.62,637,,,,298,L0.4,,,,0.0128,,,,0.0156,0.0021,0.0135,,0.52,,0.012,,L0.005,,,,,,71.7,62.7,9.1,,,,,,,,,,0.0028,1.15,0.73,299,63.8,,1.4,,0.0156,,,,,,,,,,
1001JH0072,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,1/12/2010 10:55:00 AM,Y,A,381,,,30,,,,,,0.315,,2.3,L1,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,0.215,,930,,L5,,,423,L0.6,7.51,1400,,,,516,L0.4,,,,0.0213,,,,0.0369,0.0187,0.0309,,0.9,,,,,,158,,,,127,112,15.4,,,,,,,,,,0.0283,L0.6,0.8,510,,,1,0.215,0.0496,,,,,,,,,,
1004JH0516,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/13/2010 12:10:00 PM,Y,A,381,,,35,,,,,,0.169,,11.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,0.0613,,308,,78,,,180,3.99,8.42,440,,,,212,L0.4,,,,0.0529,,,,0.166,0.123,0.0174,,0.86,,,,,,61.9,,,,55.7,41.5,14.2,,,,,,,,,,0.0871,4.58,1.57,218,,,1.5,0.0613,0.14,,,,,,,,,,
1005JH0653,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,5/12/2010 8:17:00 PM,Y,A,381,,,,,,,,,0.0827,,9.4,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,288,,439,,,,,8.23,398,,,,,,,,,,,,,0.355,,0.0223,,1.57,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,1.4,0.0174,,,,,,,,,,,
1006JH0689,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/15/2010 6:35:00 PM,Y,A,381,,,,,,,,,0.23,,7,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,300,,460,,,,,8.17,477,,,,,,,,,,,,,0.321,,0.0481,,1.2,,,,,,,,,,,,,,,,,,,,,,,0.76,L0.6,,,,1.7,0.0403,,,,,,,,,,,
1007JS1150,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/20/2010 7:15:00 PM,Y,A,381,,,80,,,,,,0.106,,7.2,2.6,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,370,,348,,,211,6.16,8.49,475,,,,245,L0.4,,,,0.0955,,,,0.268,0.204,0.0637,,1.79,,,,,,,,,,65.3,48.3,17,,,,,,,,,,0.301,1.53,2.35,263,52.7,,1.3,0.0368,0.396,,,,,,,,,,
1008JS1397,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,8/12/2010 7:30:00 PM,Y,A,381,,,,,,,,,L0.006,,7.7,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,430,,14,,,,,8.57,545,,,,,,,,,,,,,0.0663,,0.0365,,0.78,,,,,,,,,,,,,,,,,,,,,,,4.96,1.85,,,,1.5,0.254,,,,,,,,,,,
1009JS1841,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/30/2010 8:30:00 AM,Y,A,381,,,70,,,,,,0.0413,,9.2,1.3,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,306,,89,,,193,L0.6,8.24,468,,,,236,L0.4,,,,0.0404,,,,0.124,0.0914,0.0326,,1.02,,,,,,,,,,64.8,45.8,19,,,,,,,,,,0.0766,1.72,1.22,251,63.6,,1.4,0.0098,0.117,,,,,,,,,,
1012CL0054,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,12/14/2010 10:00:00 AM,Y,A,381,,,,,,,,,,,9.7,1.1,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.091,,504,,9,,,283,L0.6,8.14,720,,,,345,L0.4,,,,0.0253,,,,0.0389,0.0112,0.0277,,0.92,,,,0.254,,,,,,84.1,66.6,17.5,,,,,,,,,,0.0168,0.76,0.84,370,,,1.3,,0.0421,,,102,,,31.7,,,,
1104CL0153,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/20/2011 10:50:00 AM,Y,A,381,,,,,,,,,,,11.1,2.2,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3,0.192,,320,,319,,,174,L0.6,8.24,505,,,,213,L0.4,,0.096,0.156,,0.252,,,,,,,2.17,,,,1.89,,,,,,52.4,38.5,13.9,,,,,,,,,,,0.95,1.05,304,,,1.3,,,,,79.8,,,48.4,0.254,0.087,0.167,
1104CL0195,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/20/2011 11:35:00 AM,Y,A,381,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL0376,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,5/25/2011 4:10:00 PM,Y,A,381,,,,,,,,,,,9.2,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,0.016,,330,,142,,,,,8.33,526,,,,,,,0.029,,,0.094,,,,,,,1.06,,,,0.082,,,,,,,,,,,,,,,,,,,3.97,3.73,,,,1.4,,,,,,,,,,,,
1106CL0015,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/15/2011 8:18:00 AM,Y,A,381,,,,,,,,,,,7.9,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0.028,,374,,274,,,,,8.45,532,,,,,,,0.031,,,0.115,,,,,,,1.32,,,,0.337,,,,,,,,,,,,,,,,,,,3.44,2.31,,,,1.4,,,,,,,,,,,,
1107CL0131,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/12/2011 8:24:00 AM,Y,A,381,,,,,,15.8,,,,,8.1,1.1,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,0.017,,456,,15,,,260,7.79,8.49,644,,,,300,L0.4,,0.045,L0.014,,0.038,,,,,,,0.92,,,,L0.05,,,,,,74.8,59,,,,,,,,,,,,4.2,1.55,323,,,1.5,,,L0.01,,90.6,,,36.1,0.036,0.024,L0.014,
1109CL0148,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/13/2011 7:50:00 AM,Y,A,381,,,,,,,,,,,8.7,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,0.015,,442,,13,,,,,8.68,672,,,,,,,0.014,,,0.028,,,,,,,0.73,,,,L0.05,,,,,,,,,,,,,,,,,,,2.1,2.44,,,,1.3,,,,,,,,,,,,
1109CL0156,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/13/2011 7:50:00 AM,Y,A,381,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0911JK0044,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/20/2011 12:00:00 PM,N,A,381,,,,,,12.5,,,,,8.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L0.01,,,,15,,,,,8.54,823,,,,,,,0.016,,,0.058,,,,,,,1.29,,,,L0.05,,,,,,75.3,62.8,,,,,,,,,,,,17.2,2.46,,,,1.6,,,L0.01,,,,,,0.035,0.01,0.025,
1109CL9002,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/27/2011 12:30:00 PM,Y,A,381,,,,,,11.2,,,,,8.9,L1,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,L0.01,,542,,8,,,267,8.57,8.49,739,,,,300,L0.4,,0.01,0.025,0.0139,0.035,,,,,,,0.75,,,,L0.05,,,,,,71.7,60.5,,,,,,,,,,,L0.01,5.73,1.22,335,,,1.6,,,L0.01,,109,,,21.1,0.019,L0.01,L0.014,
1109CL9004,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/27/2011 12:30:00 PM,Y,A,381,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112EW0038,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,12/14/2011 2:15:00 PM,Y,A,381,,,,,,11.8,,,,,8.8,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,0.077,,678,,L5,,,408,L0.6,7.83,857,,,,498,L0.4,,0.02,0.023,,0.044,,,,,,,0.7,,,,0.393,,,,,,112,99.7,,,,,,,,,,,,1.72,2.02,528,,,1.3,,,,,138,,,15.7,0.032,0.014,0.018,
1204CL0051,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/11/2012 9:55:00 AM,Y,A,381,,,,,,14.5,,,,,10.9,1.3,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,0.156,,388,,578,,,182,L12,8.32,587,,,,219,L6.8,,0.035,0.412,,0.447,,,,,,,1.91,,,,0.919,,,,,,54.6,40.1,,,,,,,,,,,,1.91,4.51,,,,1.2,,,,,122,,,34.7,0.412,0.301,0.111,
1205CL0015,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,5/15/2012 7:50:00 AM,Y,A,381,,,,,,,,,,,8.5,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7,0.026,,356,,152,,,,,8.35,550,,,,,,,0.023,,,0.155,,,,,,,0.94,,,,L0.05,,,,,,,,,,,,,,,,,,,2.94,2.49,,,,1.4,,,,,,,,,,,,
